編輯總資料庫
,成語,出處,頻次
7781,功廢垂成,"[J]:漢語成語考釋詞典",1
7782,功德兼隆,"[AC]:成語典",1
7783,功德無量,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",11
7784,功德圓滿,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",7
7785,功虧一簣,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[X]:常用成語用法
[Z]:成語辨正辭典
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",24
7786,功蓋天下,"[AC]:成語典",1
7787,加人一等,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典",6
7788,加之罪，其無詞,"[J]:漢語成語考釋詞典",1
7789,加快速度,"[AB]:漢英對照成語辭典",1
7790,加把勁,"[AB]:漢英對照成語辭典",1
7791,加官晉爵,"[V]:中國成語大辭典
[AB]:漢英對照成語辭典",2
7792,加官進位,"[K]:中國成語大辭典",1
7793,加官進祿,"[K]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",3
7794,加官進爵,"[K]:中國成語大辭典
[N]:遠流活用成語辭典",2
7795,加油幹,"[AB]:漢英對照成語辭典",1
7796,加罪一等,"[J]:漢語成語考釋詞典",1
7797,加緊督促,"[AB]:漢英對照成語辭典",1
7798,加膝墜川,"[J]:漢語成語考釋詞典",1
7799,加膝墜淵,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AC]:成語典",10
7800,加餐自愛,"[J]:漢語成語考釋詞典",1
7801,加額,"[J]:漢語成語考釋詞典",1
7802,加體黃袍,"[J]:漢語成語考釋詞典",1
7803,加鹽加醋,"[AB]:漢英對照成語辭典",1
7804,包打天下,"[U]:同義反義成語詞典",1
7805,包打聽,"[AB]:漢英對照成語辭典",1
7806,包含萬象,"[J]:漢語成語考釋詞典",1
7807,包退包換,"[V]:中國成語大辭典",1
7808,包羞忍恥,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
7809,包羞忍辱,"[G(2)]:實用成語辭典
[K]:中國成語大辭典",2
7810,包調回換,"[B]:中國成語大辭典",1
7811,包舉宇內,"[S]:活用成語分類辭典(上)(下)",1
7812,包辦代替,"[N]:遠流活用成語辭典
[U]:同義反義成語詞典",2
7813,包羅萬象,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",16
7814,包羅萬匯,"[J]:漢語成語考釋詞典",1
7815,包羅萬彙,"[J]:漢語成語考釋詞典",1
7816,包藏,"[J]:漢語成語考釋詞典",1
7817,包藏奸心,"[J]:漢語成語考釋詞典",1
7818,包藏姦心,"[J]:漢語成語考釋詞典",1
7819,包藏逆心,"[J]:漢語成語考釋詞典",1
7820,包藏逆志,"[J]:漢語成語考釋詞典",1
7821,包藏禍心,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[Q]:繪圖成語故事三百篇(上)(中)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",19
7822,包藏禍胎,"[J]:漢語成語考釋詞典",1
7823,包攬詞訟,"[B]:中國成語大辭典
[K]:中國成語大辭典
[V]:中國成語大辭典",3
7824,匆匆行色,"[J]:漢語成語考釋詞典",1
7825,匆匆忙亡,"[H]:活用造句辭典(成語部分)",1
7826,北斗,"[J]:漢語成語考釋詞典",1
7827,北斗泰山,"[J]:漢語成語考釋詞典",1
7828,北方之強,"[G(2)]:實用成語辭典
[AC]:成語典",2
7829,北里風光,"[AC]:成語典",1
7830,北門之嘆,"[W]:成語大辭典(上)(下)",1
7831,北門之歎,"[AC]:成語典",1
7832,北門管鈅,"[J]:漢語成語考釋詞典",1
7833,北門鎖鈅,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
7834,北門鎖鑰,"[B]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",3
7835,北洋軍閥,"[AC]:成語典",1
7836,北面事之,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
7837,北面執經,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)",3
7838,北面稱臣,"[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",6
7839,北叟失馬,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",3
7840,北宮嬰兒,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)",2
7841,北海高風,"[S]:活用成語分類辭典(上)(下)",1
7842,北堂萱萎,"[S]:活用成語分類辭典(上)(下)",1
7843,北苑春芽,"[S]:活用成語分類辭典(上)(下)",1
7844,北窗三友,"[AC]:成語典",1
7845,北道主人,"[B]:中國成語大辭典
[K]:中國成語大辭典",2
7846,北調南腔,"[J]:漢語成語考釋詞典",1
7847,北轅南轍,"[J]:漢語成語考釋詞典",1
7848,北轅適越,"[J]:漢語成語考釋詞典",1
7849,北轅適楚,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典",6
7850,北轍南轅,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",3
7851,半人半鬼,"[B]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)",2
7852,半子,"[AC]:成語典",1
7853,半子之靠,"[J]:漢語成語考釋詞典",1
7854,半心半意,"[AB]:漢英對照成語辭典",1
7855,半文不值,"[J]:漢語成語考釋詞典",1
7856,半斤八,"[AB]:漢英對照成語辭典",1
7857,半斤八兩,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",16
7858,半付祝融,"[S]:活用成語分類辭典(上)(下)",1
7859,半仙之戲,"[AA]:成語典故文選(上)(下)",1
7860,半仙戲,"[A]:彩圖典故辭典(精)",1
7861,半生不熟,"[B]:中國成語大辭典
[H]:活用造句辭典(成語部分)
[V]:中國成語大辭典",3
7862,半生半熟,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
7863,半生潦倒,"[AC]:成語典",1
7864,半吐半吞,"[J]:漢語成語考釋詞典",1
7865,半吐半咽,"[B]:中國成語大辭典",1
7866,半死不活,"[B]:中國成語大辭典
[K]:中國成語大辭典
[V]:中國成語大辭典",3
7867,半死半生,"[AC]:成語典",1
7868,半百,"[AC]:成語典",1
7869,半老徐娘,"[E]:成語辭典
[J]:漢語成語考釋詞典",2
7870,半吞半吐,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[AB]:漢英對照成語辭典
[AC]:成語典",8
7871,半含不吐,"[J]:漢語成語考釋詞典",1
7872,半妝,"[J]:漢語成語考釋詞典",1
7873,半步不離,"[J]:漢語成語考釋詞典",1
7874,半身入土,"[J]:漢語成語考釋詞典",1
7875,半身不遂,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典",5
7876,半身不隨,"[AC]:成語典",1
7877,半身不攝,"[J]:漢語成語考釋詞典",1
7878,半夜三更,"[B]:中國成語大辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[AC]:成語典",7
7879,半明不滅,"[B]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",3
7880,半明半暗,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
7881,半青半黃,"[B]:中國成語大辭典
[K]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",4
7882,半信半疑,"[B]:中國成語大辭典
[E]:成語辭典
[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[P(下)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",13
7883,半城半鄉,"[B]:中國成語大辭典",1
7884,半面,"[J]:漢語成語考釋詞典",1
7885,半面之一,"[J]:漢語成語考釋詞典",1
7886,半面之交,"[B]:中國成語大辭典
[C]:經典成語
[K]:中國成語大辭典
[P(上)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[AD]:洪葉活用成語辭典",8
7887,半面之舊,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
7888,半面之識,"[J]:漢語成語考釋詞典
[AC]:成語典",2
7889,半面交,"[A]:彩圖典故辭典(精)",1
7890,半面妝,"[J]:漢語成語考釋詞典",1
7891,半面鈿,"[J]:漢語成語考釋詞典",1
7892,半真半假,"[AC]:成語典",1
7893,半推半就,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",14
7894,半瓶醋,"[A]:彩圖典故辭典(精)
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典",3
7895,半羞半喜,"[AC]:成語典",1
7896,半途而廢,"[B]:中國成語大辭典
[C]:經典成語
[E]:成語辭典
[G(2)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[X]:常用成語用法
[AB]:漢英對照成語辭典
[AC]:成語典",21
7897,半途而癈,"[P(下)]:成語分類辭典(上)(下)",1
7898,半部論語,"[A]:彩圖典故辭典(精)
[K]:中國成語大辭典
[AA]:成語典故文選(上)(下)",3
7899,半部論語定天下,"[AC]:成語典",1
7900,半部論語治天下,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[W]:成語大辭典(上)(下)",6
7901,半就半推,"[J]:漢語成語考釋詞典",1
7902,半絲半縷，恒念物力維艱,"[AB]:漢英對照成語辭典",1
7903,半開半掩,"[B]:中國成語大辭典",1
7904,半開門,"[AC]:成語典",1
7905,半間不界,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典",3
7906,半間半界,"[J]:漢語成語考釋詞典",1
7907,半塗而廢,"[K]:中國成語大辭典",1
7908,半塗而罷,"[K]:中國成語大辭典",1
7909,半新不舊,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",4
7910,半痴不顛,"[U]:同義反義成語詞典",1
7911,半路出家,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[P(下)]:成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",16
7912,半路修行,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
7913,半路途中,"[B]:中國成語大辭典",1
7914,半截入土,"[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[AC]:成語典",5
7915,半截入泥,"[J]:漢語成語考釋詞典",1
7916,半疑半信,"[J]:漢語成語考釋詞典",1
7917,半質虎皮,"[AB]:漢英對照成語辭典",1
7918,半壁山河,"[T]:成語辨正辭典",1
7919,半壁江山,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[AC]:成語典",8
7920,半壁河山,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典",3
7921,半尷不尬,"[J]:漢語成語考釋詞典",1
7922,半氈,"[A]:彩圖典故辭典(精)",1
7923,半臂之力,"[J]:漢語成語考釋詞典",1
7924,半臂之勞,"[J]:漢語成語考釋詞典",1
7925,半籌不展,"[J]:漢語成語考釋詞典",1
7926,半籌不納,"[K]:中國成語大辭典
[U]:同義反義成語詞典",2
7927,占為己有,"[J]:漢語成語考釋詞典",1
7928,占風使帆,"[J]:漢語成語考釋詞典",1
7929,卯翼之恩,"[W]:成語大辭典(上)(下)",1
7930,去之如敝屣,"[J]:漢語成語考釋詞典",1
7931,去天五尺,"[B]:中國成語大辭典",1
7932,去日苦多,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[W]:成語大辭典(上)(下)",3
7933,去末歸本,"[K]:中國成語大辭典",1
7934,去如黃鶴,"[J]:漢語成語考釋詞典
[T]:成語辨正辭典",2
7935,去死一髮,"[S]:活用成語分類辭典(上)(下)",1
7936,去住兩難,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[AD]:洪葉活用成語辭典",3
7937,去邪歸正,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
7938,去事之戒，來事之師,"[J]:漢語成語考釋詞典",1
7939,去故納新,"[AA]:成語典故文選(上)(下)",1
7940,去泰去甚,"[K]:中國成語大辭典",1
7941,去時終須去，再三留不住,"[AB]:漢英對照成語辭典",1
7942,去者日,"[AC]:成語典",1
7943,去者日疏,"[W]:成語大辭典(上)(下)",1
7944,去偽存真,"[E]:成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)",6
7945,去偽取真,"[U]:同義反義成語詞典",1
7946,去偽得真,"[J]:漢語成語考釋詞典",1
7947,去梯之言,"[J]:漢語成語考釋詞典",1
7948,去梯言,"[A]:彩圖典故辭典(精)",1
7949,去殺勝殘,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
7950,去粗取精,"[K]:中國成語大辭典
[U]:同義反義成語詞典",2
7951,去就之分,"[G(2)]:實用成語辭典
[K]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",4
7952,去就之間,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)",2
7953,去惡從善,"[V]:中國成語大辭典
[AB]:漢英對照成語辭典",2
7954,去惡揚善,"[S]:活用成語分類辭典(上)(下)",1
7955,去草絕根,"[J]:漢語成語考釋詞典",1
7956,去暗投明,"[G(2)]:實用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",3
7957,去煩從簡,"[J]:漢語成語考釋詞典",1
7958,去繁就約,"[J]:漢語成語考釋詞典",1
7959,去舊即新,"[J]:漢語成語考釋詞典",1
7960,去舊更新,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
7961,去蕪存菁,"[H]:活用造句辭典(成語部分)",1
7962,去題萬里,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
7963,去讒遠色,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典",3
7964,古已有之,"[I]:實用分類學生成語辭典(上)(下)",1
7965,古已有之，於今為烈,"[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典",2
7966,古已有之於今為烈,"[B]:中國成語大辭典",1
7967,古井不波,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[W]:成語大辭典(上)(下)",4
7968,古井重波,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典",4
7969,古井無波,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",6
7970,古今一人,"[AA]:成語典故文選(上)(下)",1
7971,古今一轍,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典",3
7972,古今中外,"[E]:成語辭典
[P(下)]:成語分類辭典(上)(下)",2
7973,古心古貌,"[J]:漢語成語考釋詞典",1
7974,古色古香,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",16
7975,古來所無,"[S]:活用成語分類辭典(上)(下)",1
7976,古往今來,"[B]:中國成語大辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",13
7977,古怪刁鉆,"[J]:漢語成語考釋詞典",1
7978,古所未有,"[S]:活用成語分類辭典(上)(下)",1
7979,古玩奇珍,"[AC]:成語典",1
7980,古為今用,"[K]:中國成語大辭典
[P(上)]:成語分類辭典(上)(下)",2
7981,古香古色,"[J]:漢語成語考釋詞典",1
7982,古稀,"[J]:漢語成語考釋詞典
[P(上)]:成語分類辭典(上)(下)
[AC]:成語典",3
7983,古稀之年,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[N]:遠流活用成語辭典
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",8
7984,古道可風,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典",3
7985,古道熱腸,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典",17
7986,古貌古心,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[AC]:成語典",6
7987,古貌素心,"[J]:漢語成語考釋詞典",1
7988,古調不彈,"[K]:中國成語大辭典
[V]:中國成語大辭典",2
7989,古調猶彈,"[V]:中國成語大辭典",1
7990,古調獨彈,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)",7
7991,句斟字酌,"[J]:漢語成語考釋詞典
[AB]:漢英對照成語辭典",2
7992,句櫛字比,"[J]:漢語成語考釋詞典",1
7993,另生枝節,"[J]:漢語成語考釋詞典",1
7994,另有任務,"[AB]:漢英對照成語辭典",1
7995,另有肺腸,"[J]:漢語成語考釋詞典",1
7996,另行高就,"[T]:成語辨正辭典
[V]:中國成語大辭典",2
7997,另抱琵琶,"[J]:漢語成語考釋詞典",1
7998,另起樓台,"[J]:漢語成語考釋詞典",1
7999,另起爐,"[AB]:漢英對照成語辭典
[AC]:成語典",2
8000,另起爐灶,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典",17
8001,另眼相待,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8002,另眼相看,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[AB]:漢英對照成語辭典",16
8003,另眼看承,"[J]:漢語成語考釋詞典",1
8004,另眼看待,"[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",4
8005,另眼看覷,"[J]:漢語成語考釋詞典",1
8006,另開生面,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8007,另請高明,"[B]:中國成語大辭典
[T]:成語辨正辭典
[V]:中國成語大辭典",3
8008,另樹一幟,"[J]:漢語成語考釋詞典",1
8009,另闢蹊徑,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[AB]:漢英對照成語辭典",7
8010,叨叨不休,"[S]:活用成語分類辭典(上)(下)",1
8011,叨叨絮絮,"[G(1)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
8012,叨叨嘮嘮,"[AB]:漢英對照成語辭典",1
8013,叨逢其盛,"[J]:漢語成語考釋詞典",1
8014,叨陪未座,"[D]:簡明實用成語辭典",1
8015,叨陪末座,"[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",7
8016,叩心泣血,"[J]:漢語成語考釋詞典",1
8017,叩石墾壤,"[V]:中國成語大辭典",1
8018,只手空拳,"[K]:中國成語大辭典",1
8019,只手單拳,"[K]:中國成語大辭典",1
8020,只手遮天,"[J]:漢語成語考釋詞典",1
8021,只手擎天,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
8022,只句片言,"[J]:漢語成語考釋詞典",1
8023,只可意會，不可言傳,"[E]:成語辭典
[AB]:漢英對照成語辭典",2
8024,只字不提,"[K]:中國成語大辭典",1
8025,只字片言,"[K]:中國成語大辭典",1
8026,只字片紙,"[J]:漢語成語考釋詞典",1
8027,只此一家，別無分店,"[E]:成語辭典
[K]:中國成語大辭典",2
8028,只此一家，別無分號,"[P(下)]:成語分類辭典(上)(下)",1
8029,只見其一，不見其二,"[AB]:漢英對照成語辭典",1
8030,只見樹木，不見森林,"[E]:成語辭典
[K]:中國成語大辭典
[AB]:漢英對照成語辭典",3
8031,只身孤影,"[K]:中國成語大辭典",1
8032,只爭朝夕,"[K]:中國成語大辭典",1
8033,只知其一，不知其二,"[G(1)]:實用成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
8034,只知其一不知其二,"[B]:中國成語大辭典
[O(下)]:讀成語寫作文(上)(下)",2
8035,只知其一，未知其二,"[K]:中國成語大辭典",1
8036,只知其外不知其內,"[B]:中國成語大辭典",1
8037,只知其外，不知其內,"[I]:實用分類學生成語辭典(上)(下)",1
8038,只知責人，不知責己,"[AB]:漢英對照成語辭典",1
8039,只要功夫深，鐵杵磨成針,"[K]:中國成語大辭典
[AB]:漢英對照成語辭典",2
8040,只許州官放火不准百姓點燈,"[B]:中國成語大辭典",1
