編輯總資料庫
,成語,出處,頻次
64,一寸丹心,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",9
65,一寸光明一寸金,"[J]:漢語成語考釋詞典",1
66,一寸光陰一寸金,"[G(1)]:實用成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",7
67,一寸赤心,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
68,一山放出一山攔,"[P(上)]:成語分類辭典(上)(下)",1
69,一川如畫,"[W]:成語大辭典(上)(下)",1
70,一己之私,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",4
71,一己之見,"[K]:中國成語大辭典",1
72,一不可待,"[AC]:成語典",1
73,一不拗眾,"[B]:中國成語大辭典
[AC]:成語典",2
74,一不為少,"[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)",2
75,一不做，二不休,"[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[AB]:漢英對照成語辭典",7
76,一不做二不休,"[B]:中國成語大辭典
[H]:活用造句辭典(成語部分)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",6
77,一之已甚,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
78,一之為甚,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典",4
79,一之為甚，其可再乎,"[P(下)]:成語分類辭典(上)(下)",1
80,一之謂甚,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",6
81,一之謂甚，其可再乎,"[G(2)]:實用成語辭典
[N]:遠流活用成語辭典",2
82,一予一奪,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
83,一五一十,"[B]:中國成語大辭典
[C]:經典成語
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",14
84,一介,"[AC]:成語典",1
85,一介不取,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典",18
86,一介不苟,"[J]:漢語成語考釋詞典
[AC]:成語典",2
87,一介之夫,"[AC]:成語典",1
88,一介之善,"[G(2)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",4
89,一介書生,"[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",4
90,一仍舊貫,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[AA]:成語典故文選(上)(下)",5
91,一元大武,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)",2
92,一元更始,"[AC]:成語典",1
93,一元復始,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典",10
94,一公無私,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
95,一分為二,"[AB]:漢英對照成語辭典",1
96,一分耕耘一分收獲,"[B]:中國成語大辭典",1
97,一分耕耘，一分收獲,"[G(1)]:實用成語辭典",1
98,一分耕耘，一分收穫,"[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",2
99,一分耕耘一分收穫,"[T]:成語辨正辭典",1
100,一分熱發一分光,"[B]:中國成語大辭典",1
101,一切平等,"[B]:中國成語大辭典",1
102,一切完蛋,"[AB]:漢英對照成語辭典",1
103,一切眾生,"[K]:中國成語大辭典",1
104,一反常態,"[E]:成語辭典
[K]:中國成語大辭典
[U]:同義反義成語詞典",3
105,一天一個現在,"[B]:中國成語大辭典",1
106,一天到晚,"[AB]:漢英對照成語辭典",1
107,一天星斗,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典",3
108,一天雲霧散,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
109,一夫,"[AC]:成語典",1
110,一夫之勇,"[AC]:成語典",1
111,一夫拚命，萬夫莫敵,"[G(1)]:實用成語辭典",1
112,一夫拚命，萬夫難敵,"[N]:遠流活用成語辭典
[AC]:成語典",2
113,一夫拼命，萬夫難敵,"[W]:成語大辭典(上)(下)",1
114,一夫當關,"[J]:漢語成語考釋詞典",1
115,一夫當關萬夫莫開,"[B]:中國成語大辭典",1
116,一夫當關，萬夫莫開,"[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",5
117,一夫當關，萬夫莫敵,"[N]:遠流活用成語辭典",1
118,一夫當關，萬夫萬敵,"[P(下)]:成語分類辭典(上)(下)",1
119,一夫荷戈，萬夫莫前,"[J]:漢語成語考釋詞典",1
120,一夫荷戟，千人莫當,"[AC]:成語典",1
121,一孔之見,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",17
122,一孔出氣,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
123,一尺之筆,"[W]:成語大辭典(上)(下)",1
124,一尺水十丈波,"[AC]:成語典",1
125,一尺水，十丈波,"[J]:漢語成語考釋詞典",1
126,一心一計,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",4
127,一心一意,"[B]:中國成語大辭典
[E]:成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",14
128,一心一德,"[E]:成語辭典
[G(2)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[AC]:成語典",11
129,一心兩用,"[J]:漢語成語考釋詞典",1
130,一心掛兩頭,"[K]:中國成語大辭典",1
131,一心無二,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
132,一手一足,"[K]:中國成語大辭典
[N]:遠流活用成語辭典",2
133,一手包辦,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
134,一手包攬,"[K]:中國成語大辭典",1
135,一手交錢，一手交貨,"[AC]:成語典",1
136,一手托兩家,"[B]:中國成語大辭典",1
137,一手承運,"[B]:中國成語大辭典",1
138,一手掩盡天下人耳目,"[B]:中國成語大辭典",1
139,一手掩盡天下目,"[V]:中國成語大辭典",1
140,一手障天,"[J]:漢語成語考釋詞典",1
141,一手遮天,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",17
142,一手獨拍雖疾無聲,"[B]:中國成語大辭典",1
143,一手獨拍，雖疾無聲,"[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",3
144,一手擎天,"[J]:漢語成語考釋詞典",1
145,一手難掩天下目,"[AC]:成語典",1
146,一文不名,"[E]:成語辭典
[K]:中國成語大辭典
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)",4
147,一文不值,"[G(1)]:實用成語辭典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",6
148,一文如命,"[K]:中國成語大辭典
[AC]:成語典",2
149,一文錢逼死英雄漢,"[K]:中國成語大辭典",1
150,一文錢難倒英雄漢,"[K]:中國成語大辭典",1
151,一斗百篇,"[AC]:成語典",1
152,一斤十六兩,"[J]:漢語成語考釋詞典",1
153,一日九迴腸,"[V]:中國成語大辭典",1
154,一日九遷,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
155,一日三秋,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Y]:新編成語故事
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",18
156,一日千里,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[P(下)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Y]:新編成語故事
[AA]:成語典故文選(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",23
157,一日干里,"[AC]:成語典",1
158,一日不見如隔三秋,"[O(上)]:讀成語寫作文(上)(下)",1
159,一日不見，如隔三秋,"[K]:中國成語大辭典
[P(下)]:成語分類辭典(上)(下)",2
160,一日之長,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",12
161,一日之計在於晨,"[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",4
162,一日之計於晨,"[E]:成語辭典",1
163,一日之雅,"[B]:中國成語大辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
164,一日之誼,"[J]:漢語成語考釋詞典",1
165,一日必葺,"[AC]:成語典",1
166,一日犬吠形，百犬吠聲,"[N]:遠流活用成語辭典",1
167,一日兩兩日三,"[AC]:成語典",1
168,一日長,"[J]:漢語成語考釋詞典",1
169,一日為師,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
170,一日為師，終身為父,"[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",4
171,一日復一日,"[J]:漢語成語考釋詞典",1
172,一日無常萬事休,"[AC]:成語典",1
173,一日雅,"[J]:漢語成語考釋詞典",1
174,一日萬幾,"[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",5
175,一日縱敵，數世之患,"[N]:遠流活用成語辭典",1
176,一日縱敵數世之患也,"[B]:中國成語大辭典",1
177,一日難再晨,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
178,一木破天,"[W]:成語大辭典(上)(下)
[AC]:成語典",2
179,一木掌天,"[V]:中國成語大辭典",1
180,一木難支,"[A]:彩圖典故辭典(精)
[B]:中國成語大辭典
[E]:成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(上)]:讀成語寫作文(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",13
181,一木難支大廈,"[AC]:成語典",1
182,一木難扶,"[K]:中國成語大辭典",1
183,一歹九徒,"[S]:活用成語分類辭典(上)(下)",1
